Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Version	Scenario	NumAlleles	Number	GenoError	gtyp.err.assumption
afAFaadh	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	3	h	d.02m.02
afAFaadl	10	5	5	2	2	33	0	0	ColonyNewVersion	onelarge_noh	5	3	l	d.02m.02
afAFaadn	10	9	9	2	2	33	0	0	ColonyNewVersion	onelarge_noh	5	3	n	d.02m.02
afAFaaeh	10	5	5	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	4	h	d.02m.02
afAFaael	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	4	l	d.02m.02
afAFaaen	10	5	5	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	4	n	d.02m.02
afAFaafh	10	4	4	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	5	h	d.02m.02
afAFaafl	10	2	2	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	5	l	d.02m.02
afAFaafn	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	5	n	d.02m.02
afAFaagh	10	5	5	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	6	h	d.02m.02
afAFaagl	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	6	l	d.02m.02
afAFaagn	10	8	8	2	2	33	0	0	ColonyNewVersion	onelarge_noh	5	6	n	d.02m.02
afAFaahh	10	5	5	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	7	h	d.02m.02
afAFaahl	10	5	5	2	2	33	0	0	ColonyNewVersion	onelarge_noh	5	7	l	d.02m.02
afAFaahn	10	4	4	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	7	n	d.02m.02
afAFaaih	10	6	6	1	1	31	0	0	ColonyNewVersion	onelarge_noh	5	8	h	d.02m.02
afAFaail	10	11	11	3	3	34	0	0	ColonyNewVersion	onelarge_noh	5	8	l	d.02m.02
afAFaain	10	10	10	3	3	34	0	0	ColonyNewVersion	onelarge_noh	5	8	n	d.02m.02
afAFaajh	10	7	7	2	2	33	0	0	ColonyNewVersion	onelarge_noh	5	9	h	d.02m.02
afAFaajl	10	6	6	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	9	l	d.02m.02
afAFaajn	10	6	6	2	2	33	0	0	ColonyNewVersion	onelarge_noh	5	9	n	d.02m.02
afAFaakh	10	7	7	0	0	30	0	0	ColonyNewVersion	onelarge_noh	5	10	h	d.02m.02
