Scenario	NumAlleles	Number	GenoError	Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Seconds
nosibs	5	6	n	afAEaagn	10	4	75	4	75	75	75	75	82
nosibs	5	7	h	afAEaahh	10	1	75	1	72	72	75	72	84
nosibs	5	7	l	afAEaahl	10	2	75	2	73	73	75	73	80
nosibs	5	7	n	afAEaahn	10	3	75	3	74	74	75	74	82
nosibs	5	8	h	afAEaaih	10	2	75	2	74	74	75	74	79
nosibs	5	8	l	afAEaail	10	1	75	1	73	73	75	73	84
nosibs	5	8	n	afAEaain	10	5	75	5	72	72	75	72	78
nosibs	5	9	h	afAEaajh	10	3	75	3	75	75	75	75	87
nosibs	5	9	l	afAEaajl	10	3	75	3	75	75	75	75	79
nosibs	5	9	n	afAEaajn	10	3	75	3	75	75	75	75	84
nosibs	5	10	h	afAEaakh	10	4	75	4	74	74	75	74	79
nosibs	5	10	l	afAEaakl	10	6	75	6	74	74	75	74	83
nosibs	5	10	n	afAEaakn	10	6	75	6	75	75	75	75	81
nosibs	5	11	h	afAEaalh	10	0	75	0	74	74	75	74	86
nosibs	5	11	l	afAEaall	10	3	75	3	74	74	75	74	83
nosibs	5	11	n	afAEaaln	10	4	75	4	74	74	75	74	79
nosibs	5	12	h	afAEaamh	10	3	75	3	75	75	75	75	83
nosibs	5	12	l	afAEaaml	10	4	75	4	73	73	75	73	79
nosibs	5	12	n	afAEaamn	10	7	75	7	73	73	75	73	83
nosibs	5	13	h	afAEaanh	10	0	75	0	75	75	75	75	78
nosibs	5	13	l	afAEaanl	10	3	75	3	75	75	75	75	81
nosibs	5	13	n	afAEaann	10	6	75	6	75	75	75	75	82
nosibs	5	14	h	afAEaaoh	10	0	75	0	73	73	75	73	86
nosibs	5	14	l	afAEaaol	10	2	75	2	73	73	75	73	81
nosibs	5	14	n	afAEaaon	10	2	75	2	75	75	75	75	84
nosibs	5	15	h	afAEaaph	10	2	75	2	74	74	75	74	79
nosibs	5	15	l	afAEaapl	10	3	75	3	75	75	75	75	83
nosibs	5	15	n	afAEaapn	10	4	75	4	75	75	75	75	82
nosibs	5	16	h	afAEaaqh	10	1	75	1	73	73	75	73	82
nosibs	5	16	l	afAEaaql	10	3	75	3	75	75	75	75	86
nosibs	5	16	n	afAEaaqn	10	4	75	4	75	75	75	75	82
nosibs	5	17	h	afAEaarh	10	2	75	2	75	75	75	75	85
nosibs	5	17	l	afAEaarl	10	5	75	5	75	75	75	75	80
nosibs	5	17	n	afAEaarn	10	3	75	3	75	75	75	75	84
nosibs	5	18	h	afAEaash	10	1	75	1	73	73	75	73	79
nosibs	5	18	l	afAEaasl	10	4	75	4	75	75	75	75	83
nosibs	5	18	n	afAEaasn	10	3	75	3	75	75	75	75	79
nosibs	5	19	h	afAEaath	10	2	75	2	74	74	75	74	83
nosibs	5	19	l	afAEaatl	10	4	75	4	73	73	75	73	79
nosibs	5	19	n	afAEaatn	10	3	75	3	75	75	75	75	85
nosibs	5	20	h	afAEaauh	10	1	75	1	72	72	75	72	80
nosibs	5	20	l	afAEaaul	10	0	75	0	75	75	75	75	84
nosibs	5	20	n	afAEaaun	10	7	75	7	73	73	75	73	80
nosibs	5	21	h	afAEaavh	10	0	75	0	73	73	75	73	83
nosibs	5	21	l	afAEaavl	10	3	75	3	75	75	75	75	82
nosibs	5	21	n	afAEaavn	10	3	75	3	75	75	75	75	81
nosibs	5	22	h	afAEaawh	10	50	50	48	48	71	0	0	78
nosibs	5	22	l	afAEaawl	10	4	75	4	75	75	75	75	83
nosibs	5	22	n	afAEaawn	10	6	75	6	75	75	75	75	78
nosibs	5	23	h	afAEaaxh	10	1	75	1	75	75	75	75	82
nosibs	5	23	l	afAEaaxl	10	3	75	3	75	75	75	75	84
nosibs	5	23	n	afAEaaxn	10	6	75	6	75	75	75	75	80
nosibs	5	24	h	afAEaayh	10	2	75	2	75	75	75	75	83
nosibs	5	24	l	afAEaayl	10	4	75	4	75	75	75	75	79
nosibs	5	24	n	afAEaayn	10	6	75	6	75	75	75	75	81
nosibs	5	25	h	afAEaazh	10	50	50	49	50	73	2	2	77
nosibs	5	25	l	afAEaazl	10	4	75	4	74	74	75	74	84
nosibs	5	25	n	afAEaazn	10	3	75	3	75	75	75	75	80
nosibs	5	26	h	afAEabah	10	2	75	2	75	75	75	75	84
nosibs	5	26	l	afAEabal	10	6	75	6	75	75	75	75	79
nosibs	5	26	n	afAEaban	10	3	75	3	75	75	75	75	84
nosibs	5	27	h	afAEabbh	10	1	75	1	75	75	75	75	79
nosibs	5	27	l	afAEabbl	10	3	75	3	75	75	75	75	83
nosibs	5	27	n	afAEabbn	10	3	75	3	75	75	75	75	83
nosibs	5	28	h	afAEabch	10	3	75	3	75	75	75	75	81
nosibs	5	28	l	afAEabcl	10	6	75	6	75	75	75	75	81
