"","Code","NumLoc","Version","part.dist","part.dist2","trimmed.part.dist","trimmed.part.dist2","trimmed.num","num.dupl.elems","num.dupl.when.trimmed","Scenario","NumAlleles","Number","GenoError","gtyp.err.assumption","Minutes"
"133","afABaajn",15,"ColonyNewVersionPairwise",31,31,21,21,30,0,0,"allhalf",5,9,"n","d.02m.02",0.466666666666667
"134","afABaajn",20,"ColonyNewVersionPairwise",25,25,10,10,15,0,0,"allhalf",5,9,"n","d.02m.02",0.55
"135","afABaajn",25,"ColonyNewVersionPairwise",20,20,6,6,9,0,0,"allhalf",5,9,"n","d.02m.02",0.566666666666667
"136","afABaakh",5,"ColonyNewVersionPairwise",48,48,40,40,53,0,0,"allhalf",5,10,"h","d.02m.02",0.466666666666667
"137","afABaakh",10,"ColonyNewVersionPairwise",37,37,28,28,40,0,0,"allhalf",5,10,"h","d.02m.02",0.516666666666667
"138","afABaakh",15,"ColonyNewVersionPairwise",28,28,11,11,15,0,0,"allhalf",5,10,"h","d.02m.02",0.583333333333333
"139","afABaakh",20,"ColonyNewVersionPairwise",22,22,5,5,7,0,0,"allhalf",5,10,"h","d.02m.02",0.566666666666667
"140","afABaakh",25,"ColonyNewVersionPairwise",18,18,5,5,7,0,0,"allhalf",5,10,"h","d.02m.02",0.616666666666667
"141","afABaakl",5,"ColonyNewVersionPairwise",44,44,39,39,52,0,0,"allhalf",5,10,"l","d.02m.02",0.516666666666667
"142","afABaakl",10,"ColonyNewVersionPairwise",35,35,28,28,39,0,0,"allhalf",5,10,"l","d.02m.02",0.516666666666667
"143","afABaakl",15,"ColonyNewVersionPairwise",30,30,13,13,18,0,0,"allhalf",5,10,"l","d.02m.02",0.583333333333333
"144","afABaakl",20,"ColonyNewVersionPairwise",26,26,13,13,19,0,0,"allhalf",5,10,"l","d.02m.02",0.55
"145","afABaakl",25,"ColonyNewVersionPairwise",20,20,6,6,9,0,0,"allhalf",5,10,"l","d.02m.02",0.5
"146","afABaakn",5,"ColonyNewVersionPairwise",44,44,37,37,48,0,0,"allhalf",5,10,"n","d.02m.02",0.433333333333333
"147","afABaakn",10,"ColonyNewVersionPairwise",35,35,27,27,37,0,0,"allhalf",5,10,"n","d.02m.02",0.483333333333333
"148","afABaakn",15,"ColonyNewVersionPairwise",28,28,12,12,16,0,0,"allhalf",5,10,"n","d.02m.02",0.55
"149","afABaakn",20,"ColonyNewVersionPairwise",21,21,6,6,9,0,0,"allhalf",5,10,"n","d.02m.02",0.633333333333333
"150","afABaakn",25,"ColonyNewVersionPairwise",20,20,5,5,7,0,0,"allhalf",5,10,"n","d.02m.02",0.6
"151","afABaalh",5,"ColonyNewVersionPairwise",44,44,38,38,49,0,0,"allhalf",5,11,"h","d.02m.02",0.6
"152","afABaalh",10,"ColonyNewVersionPairwise",35,35,25,25,35,0,0,"allhalf",5,11,"h","d.02m.02",0.55
"153","afABaalh",15,"ColonyNewVersionPairwise",27,27,15,15,22,0,0,"allhalf",5,11,"h","d.02m.02",0.533333333333333
"154","afABaalh",20,"ColonyNewVersionPairwise",24,24,12,12,18,0,0,"allhalf",5,11,"h","d.02m.02",0.616666666666667
"155","afABaalh",25,"ColonyNewVersionPairwise",19,19,2,2,3,0,0,"allhalf",5,11,"h","d.02m.02",0.633333333333333
"156","afABaall",5,"ColonyNewVersionPairwise",44,44,32,32,41,0,0,"allhalf",5,11,"l","d.02m.02",0.533333333333333
"157","afABaall",10,"ColonyNewVersionPairwise",29,29,18,18,26,0,0,"allhalf",5,11,"l","d.02m.02",0.533333333333333
"158","afABaall",15,"ColonyNewVersionPairwise",26,26,12,12,18,0,0,"allhalf",5,11,"l","d.02m.02",0.533333333333333
"159","afABaall",20,"ColonyNewVersionPairwise",22,22,8,8,12,0,0,"allhalf",5,11,"l","d.02m.02",0.55
"160","afABaall",25,"ColonyNewVersionPairwise",21,21,8,8,12,0,0,"allhalf",5,11,"l","d.02m.02",0.566666666666667
"161","afABaaln",5,"ColonyNewVersionPairwise",40,40,31,31,40,0,0,"allhalf",5,11,"n","d.02m.02",0.55
"162","afABaaln",10,"ColonyNewVersionPairwise",32,32,16,16,22,0,0,"allhalf",5,11,"n","d.02m.02",0.5
"163","afABaaln",15,"ColonyNewVersionPairwise",26,26,12,12,18,0,0,"allhalf",5,11,"n","d.02m.02",0.566666666666667
"164","afABaaln",20,"ColonyNewVersionPairwise",23,23,6,6,9,0,0,"allhalf",5,11,"n","d.02m.02",0.516666666666667
"165","afABaaln",25,"ColonyNewVersionPairwise",18,18,4,4,6,0,0,"allhalf",5,11,"n","d.02m.02",0.583333333333333
"166","afABaamh",5,"ColonyNewVersionPairwise",47,47,38,38,49,0,0,"allhalf",5,12,"h","d.02m.02",0.533333333333333
"167","afABaamh",10,"ColonyNewVersionPairwise",32,32,15,15,22,0,0,"allhalf",5,12,"h","d.02m.02",0.583333333333333
"168","afABaamh",15,"ColonyNewVersionPairwise",29,29,17,17,25,0,0,"allhalf",5,12,"h","d.02m.02",0.533333333333333
"169","afABaamh",20,"ColonyNewVersionPairwise",22,22,10,10,15,0,0,"allhalf",5,12,"h","d.02m.02",0.583333333333333
"170","afABaamh",25,"ColonyNewVersionPairwise",13,13,NA,NA,0,0,0,"allhalf",5,12,"h","d.02m.02",0.583333333333333
"171","afABaaml",5,"ColonyNewVersionPairwise",43,43,38,38,48,0,0,"allhalf",5,12,"l","d.02m.02",0.533333333333333
"172","afABaaml",10,"ColonyNewVersionPairwise",32,32,17,17,25,0,0,"allhalf",5,12,"l","d.02m.02",0.5
"173","afABaaml",15,"ColonyNewVersionPairwise",25,25,10,10,15,0,0,"allhalf",5,12,"l","d.02m.02",0.483333333333333
"174","afABaaml",20,"ColonyNewVersionPairwise",20,20,6,6,9,0,0,"allhalf",5,12,"l","d.02m.02",0.65
"175","afABaaml",25,"ColonyNewVersionPairwise",16,16,4,4,6,0,0,"allhalf",5,12,"l","d.02m.02",0.6
"176","afABaamn",5,"ColonyNewVersionPairwise",47,47,39,39,51,0,0,"allhalf",5,12,"n","d.02m.02",0.466666666666667
"177","afABaamn",10,"ColonyNewVersionPairwise",38,38,24,24,35,0,0,"allhalf",5,12,"n","d.02m.02",0.566666666666667
"178","afABaamn",15,"ColonyNewVersionPairwise",28,28,12,12,18,0,0,"allhalf",5,12,"n","d.02m.02",0.55
"179","afABaamn",20,"ColonyNewVersionPairwise",24,24,14,14,21,0,0,"allhalf",5,12,"n","d.02m.02",0.483333333333333
"180","afABaamn",25,"ColonyNewVersionPairwise",15,15,4,4,6,0,0,"allhalf",5,12,"n","d.02m.02",0.566666666666667
"181","afABaanh",5,"ColonyNewVersionPairwise",47,47,38,38,49,0,0,"allhalf",5,13,"h","d.02m.02",0.483333333333333
"182","afABaanh",10,"ColonyNewVersionPairwise",38,38,31,31,43,0,0,"allhalf",5,13,"h","d.02m.02",0.566666666666667
"183","afABaanh",15,"ColonyNewVersionPairwise",30,30,21,21,30,0,0,"allhalf",5,13,"h","d.02m.02",0.566666666666667
"184","afABaanh",20,"ColonyNewVersionPairwise",23,23,10,10,15,0,0,"allhalf",5,13,"h","d.02m.02",0.65
"185","afABaanh",25,"ColonyNewVersionPairwise",18,18,6,6,9,0,0,"allhalf",5,13,"h","d.02m.02",0.633333333333333
"186","afABaanl",5,"ColonyNewVersionPairwise",44,44,39,39,50,0,0,"allhalf",5,13,"l","d.02m.02",0.483333333333333
"187","afABaanl",10,"ColonyNewVersionPairwise",34,34,23,23,33,0,0,"allhalf",5,13,"l","d.02m.02",0.583333333333333
"188","afABaanl",15,"ColonyNewVersionPairwise",29,29,12,12,18,0,0,"allhalf",5,13,"l","d.02m.02",0.55
"189","afABaanl",20,"ColonyNewVersionPairwise",27,27,6,6,9,0,0,"allhalf",5,13,"l","d.02m.02",0.566666666666667
"190","afABaanl",25,"ColonyNewVersionPairwise",22,22,10,10,15,0,0,"allhalf",5,13,"l","d.02m.02",0.566666666666667
"191","afABaann",5,"ColonyNewVersionPairwise",47,47,41,41,51,0,0,"allhalf",5,13,"n","d.02m.02",0.516666666666667
"192","afABaann",10,"ColonyNewVersionPairwise",36,36,25,25,35,0,0,"allhalf",5,13,"n","d.02m.02",0.533333333333333
"193","afABaann",15,"ColonyNewVersionPairwise",30,30,16,16,24,0,0,"allhalf",5,13,"n","d.02m.02",0.483333333333333
"194","afABaann",20,"ColonyNewVersionPairwise",27,27,8,8,12,0,0,"allhalf",5,13,"n","d.02m.02",0.65
"195","afABaann",25,"ColonyNewVersionPairwise",23,23,6,6,9,0,0,"allhalf",5,13,"n","d.02m.02",0.533333333333333
"196","afABaaoh",5,"ColonyNewVersionPairwise",47,47,45,45,61,0,0,"allhalf",5,14,"h","d.02m.02",0.416666666666667
"197","afABaaoh",10,"ColonyNewVersionPairwise",34,34,21,21,31,0,0,"allhalf",5,14,"h","d.02m.02",0.516666666666667
"198","afABaaoh",15,"ColonyNewVersionPairwise",30,30,17,17,25,0,0,"allhalf",5,14,"h","d.02m.02",0.533333333333333
"199","afABaaoh",20,"ColonyNewVersionPairwise",25,25,8,8,12,0,0,"allhalf",5,14,"h","d.02m.02",0.533333333333333
"200","afABaaoh",25,"ColonyNewVersionPairwise",22,22,8,8,12,0,0,"allhalf",5,14,"h","d.02m.02",0.6
"201","afABaaol",5,"ColonyNewVersionPairwise",49,49,43,43,56,0,0,"allhalf",5,14,"l","d.02m.02",0.4
"202","afABaaol",10,"ColonyNewVersionPairwise",36,36,23,23,34,0,0,"allhalf",5,14,"l","d.02m.02",0.533333333333333
"203","afABaaol",15,"ColonyNewVersionPairwise",31,31,15,15,22,0,0,"allhalf",5,14,"l","d.02m.02",0.55
