"","Code","NumLoc","Version","part.dist","part.dist2","trimmed.part.dist","trimmed.part.dist2","trimmed.num","num.dupl.elems","num.dupl.when.trimmed","Scenario","NumAlleles","Number","GenoError","gtyp.err.assumption","Minutes"
"93","afABaahh",15,"ColonyNewVersion",7,7,NA,NA,0,0,0,"allhalf",5,7,"h","d.02m.02",3.96666666666667
"94","afABaahh",20,"ColonyNewVersion",3,3,NA,NA,0,0,0,"allhalf",5,7,"h","d.02m.02",5.13333333333333
"95","afABaahh",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,7,"h","d.02m.02",4.78333333333333
"96","afABaahl",5,"ColonyNewVersion",37,37,22,22,31,0,0,"allhalf",5,7,"l","d.02m.02",1.98333333333333
"97","afABaahl",10,"ColonyNewVersion",19,19,NA,NA,0,0,0,"allhalf",5,7,"l","d.02m.02",3.88333333333333
"98","afABaahl",15,"ColonyNewVersion",9,9,2,2,3,0,0,"allhalf",5,7,"l","d.02m.02",3.56666666666667
"99","afABaahl",20,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,7,"l","d.02m.02",5.76666666666667
"100","afABaahl",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,7,"l","d.02m.02",5.75
"101","afABaahn",5,"ColonyNewVersion",31,31,19,19,28,0,0,"allhalf",5,7,"n","d.02m.02",2.16666666666667
"102","afABaahn",10,"ColonyNewVersion",17,17,2,2,3,0,0,"allhalf",5,7,"n","d.02m.02",3.48333333333333
"103","afABaahn",15,"ColonyNewVersion",9,9,NA,NA,0,0,0,"allhalf",5,7,"n","d.02m.02",3.76666666666667
"104","afABaahn",20,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,7,"n","d.02m.02",5.05
"105","afABaahn",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,7,"n","d.02m.02",5.15
"106","afABaaih",5,"ColonyNewVersion",32,32,22,22,31,0,0,"allhalf",5,8,"h","d.02m.02",2.35
"107","afABaaih",10,"ColonyNewVersion",17,17,6,6,9,0,0,"allhalf",5,8,"h","d.02m.02",3.01666666666667
"108","afABaaih",15,"ColonyNewVersion",11,11,NA,NA,0,0,0,"allhalf",5,8,"h","d.02m.02",4.28333333333333
"109","afABaaih",20,"ColonyNewVersion",6,6,NA,NA,0,0,0,"allhalf",5,8,"h","d.02m.02",6.21666666666667
"110","afABaaih",25,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,8,"h","d.02m.02",5.36666666666667
"111","afABaail",5,"ColonyNewVersion",32,32,25,25,36,0,0,"allhalf",5,8,"l","d.02m.02",2.35
"112","afABaail",10,"ColonyNewVersion",24,24,9,9,13,0,0,"allhalf",5,8,"l","d.02m.02",2.98333333333333
"113","afABaail",15,"ColonyNewVersion",10,10,NA,NA,0,0,0,"allhalf",5,8,"l","d.02m.02",3.7
"114","afABaail",20,"ColonyNewVersion",8,8,NA,NA,0,0,0,"allhalf",5,8,"l","d.02m.02",5.05
"115","afABaail",25,"ColonyNewVersion",5,5,NA,NA,0,0,0,"allhalf",5,8,"l","d.02m.02",6.08333333333333
"116","afABaain",5,"ColonyNewVersion",34,34,24,24,35,0,0,"allhalf",5,8,"n","d.02m.02",2.28333333333333
"117","afABaain",10,"ColonyNewVersion",23,23,6,6,9,0,0,"allhalf",5,8,"n","d.02m.02",3.4
"118","afABaain",15,"ColonyNewVersion",10,10,2,2,3,0,0,"allhalf",5,8,"n","d.02m.02",4.1
"119","afABaain",20,"ColonyNewVersion",5,5,NA,NA,0,0,0,"allhalf",5,8,"n","d.02m.02",4.75
"120","afABaain",25,"ColonyNewVersion",3,3,NA,NA,0,0,0,"allhalf",5,8,"n","d.02m.02",5.91666666666667
"121","afABaajh",5,"ColonyNewVersion",33,33,16,16,24,0,0,"allhalf",5,9,"h","d.02m.02",2.25
"122","afABaajh",10,"ColonyNewVersion",13,13,NA,NA,0,0,0,"allhalf",5,9,"h","d.02m.02",3.26666666666667
"123","afABaajh",15,"ColonyNewVersion",8,8,NA,NA,0,0,0,"allhalf",5,9,"h","d.02m.02",4.45
"124","afABaajh",20,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,9,"h","d.02m.02",4.9
"125","afABaajh",25,"ColonyNewVersion",0,0,NA,NA,0,0,0,"allhalf",5,9,"h","d.02m.02",4.28333333333333
"126","afABaajl",5,"ColonyNewVersion",36,36,24,24,35,0,0,"allhalf",5,9,"l","d.02m.02",2.03333333333333
"127","afABaajl",10,"ColonyNewVersion",20,20,4,4,6,0,0,"allhalf",5,9,"l","d.02m.02",2.75
"128","afABaajl",15,"ColonyNewVersion",10,10,2,2,3,0,0,"allhalf",5,9,"l","d.02m.02",3.98333333333333
"129","afABaajl",20,"ColonyNewVersion",3,3,NA,NA,0,0,0,"allhalf",5,9,"l","d.02m.02",5.45
"130","afABaajl",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,9,"l","d.02m.02",5.48333333333333
"131","afABaajn",5,"ColonyNewVersion",30,30,18,18,27,0,0,"allhalf",5,9,"n","d.02m.02",2.3
"132","afABaajn",10,"ColonyNewVersion",18,18,4,4,6,0,0,"allhalf",5,9,"n","d.02m.02",3.18333333333333
"133","afABaajn",15,"ColonyNewVersion",11,11,2,2,3,0,0,"allhalf",5,9,"n","d.02m.02",3.38333333333333
"134","afABaajn",20,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,9,"n","d.02m.02",5.23333333333333
"135","afABaajn",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,9,"n","d.02m.02",4.98333333333333
"136","afABaakh",5,"ColonyNewVersion",33,33,21,21,30,0,0,"allhalf",5,10,"h","d.02m.02",2
"137","afABaakh",10,"ColonyNewVersion",18,18,6,6,9,0,0,"allhalf",5,10,"h","d.02m.02",3.08333333333333
"138","afABaakh",15,"ColonyNewVersion",10,10,NA,NA,0,0,0,"allhalf",5,10,"h","d.02m.02",3.75
"139","afABaakh",20,"ColonyNewVersion",6,6,NA,NA,0,0,0,"allhalf",5,10,"h","d.02m.02",4.95
"140","afABaakh",25,"ColonyNewVersion",0,0,NA,NA,0,0,0,"allhalf",5,10,"h","d.02m.02",4.9
"141","afABaakl",5,"ColonyNewVersion",31,31,22,22,30,0,0,"allhalf",5,10,"l","d.02m.02",2.05
"142","afABaakl",10,"ColonyNewVersion",19,19,2,2,3,0,0,"allhalf",5,10,"l","d.02m.02",3.38333333333333
"143","afABaakl",15,"ColonyNewVersion",13,13,2,2,3,0,0,"allhalf",5,10,"l","d.02m.02",4.21666666666667
"144","afABaakl",20,"ColonyNewVersion",5,5,NA,NA,0,0,0,"allhalf",5,10,"l","d.02m.02",6.13333333333333
"145","afABaakl",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,10,"l","d.02m.02",5.03333333333333
"146","afABaakn",5,"ColonyNewVersion",31,31,12,12,18,0,0,"allhalf",5,10,"n","d.02m.02",2.16666666666667
"147","afABaakn",10,"ColonyNewVersion",15,15,2,2,3,0,0,"allhalf",5,10,"n","d.02m.02",2.66666666666667
"148","afABaakn",15,"ColonyNewVersion",12,12,2,2,3,0,0,"allhalf",5,10,"n","d.02m.02",4.2
"149","afABaakn",20,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,10,"n","d.02m.02",6.06666666666667
"150","afABaakn",25,"ColonyNewVersion",0,0,NA,NA,0,0,0,"allhalf",5,10,"n","d.02m.02",4.7
"151","afABaalh",5,"ColonyNewVersion",33,33,20,20,27,0,0,"allhalf",5,11,"h","d.02m.02",1.96666666666667
"152","afABaalh",10,"ColonyNewVersion",20,20,9,9,13,0,0,"allhalf",5,11,"h","d.02m.02",2.91666666666667
"153","afABaalh",15,"ColonyNewVersion",9,9,NA,NA,0,0,0,"allhalf",5,11,"h","d.02m.02",3.76666666666667
"154","afABaalh",20,"ColonyNewVersion",3,3,NA,NA,0,0,0,"allhalf",5,11,"h","d.02m.02",4.46666666666667
"155","afABaalh",25,"ColonyNewVersion",0,0,NA,NA,0,0,0,"allhalf",5,11,"h","d.02m.02",4.81666666666667
"156","afABaall",5,"ColonyNewVersion",31,31,20,20,27,0,0,"allhalf",5,11,"l","d.02m.02",2.61666666666667
"157","afABaall",10,"ColonyNewVersion",15,15,2,2,3,0,0,"allhalf",5,11,"l","d.02m.02",2.8
"158","afABaall",15,"ColonyNewVersion",7,7,NA,NA,0,0,0,"allhalf",5,11,"l","d.02m.02",3.76666666666667
"159","afABaall",20,"ColonyNewVersion",3,3,NA,NA,0,0,0,"allhalf",5,11,"l","d.02m.02",4.63333333333333
"160","afABaall",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,11,"l","d.02m.02",4.28333333333333
"161","afABaaln",5,"ColonyNewVersion",25,25,6,6,8,0,0,"allhalf",5,11,"n","d.02m.02",2.31666666666667
"162","afABaaln",10,"ColonyNewVersion",16,16,6,6,9,0,0,"allhalf",5,11,"n","d.02m.02",3.8
"163","afABaaln",15,"ColonyNewVersion",8,8,NA,NA,0,0,0,"allhalf",5,11,"n","d.02m.02",3.66666666666667
"164","afABaaln",20,"ColonyNewVersion",0,0,NA,NA,0,0,0,"allhalf",5,11,"n","d.02m.02",4.68333333333333
"165","afABaaln",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,11,"n","d.02m.02",5.4
"166","afABaamh",5,"ColonyNewVersion",32,32,17,17,24,0,0,"allhalf",5,12,"h","d.02m.02",1.86666666666667
"167","afABaamh",10,"ColonyNewVersion",15,15,9,9,13,0,0,"allhalf",5,12,"h","d.02m.02",2.58333333333333
"168","afABaamh",15,"ColonyNewVersion",5,5,NA,NA,0,0,0,"allhalf",5,12,"h","d.02m.02",4.11666666666667
"169","afABaamh",20,"ColonyNewVersion",6,6,NA,NA,0,0,0,"allhalf",5,12,"h","d.02m.02",4.61666666666667
"170","afABaamh",25,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,12,"h","d.02m.02",5.95
"171","afABaaml",5,"ColonyNewVersion",30,30,17,17,25,0,0,"allhalf",5,12,"l","d.02m.02",2.43333333333333
"172","afABaaml",10,"ColonyNewVersion",11,11,NA,NA,0,0,0,"allhalf",5,12,"l","d.02m.02",3.2
"173","afABaaml",15,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,12,"l","d.02m.02",3.41666666666667
"174","afABaaml",20,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,12,"l","d.02m.02",4.9
"175","afABaaml",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,12,"l","d.02m.02",5.01666666666667
"176","afABaamn",5,"ColonyNewVersion",34,34,22,22,31,0,0,"allhalf",5,12,"n","d.02m.02",1.98333333333333
"177","afABaamn",10,"ColonyNewVersion",16,16,2,2,3,0,0,"allhalf",5,12,"n","d.02m.02",3.1
"178","afABaamn",15,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,12,"n","d.02m.02",4.1
"179","afABaamn",20,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,12,"n","d.02m.02",6.08333333333333
"180","afABaamn",25,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,12,"n","d.02m.02",5.61666666666667
"181","afABaanh",5,"ColonyNewVersion",32,32,22,22,32,0,0,"allhalf",5,13,"h","d.02m.02",2.31666666666667
"182","afABaanh",10,"ColonyNewVersion",11,11,5,5,7,0,0,"allhalf",5,13,"h","d.02m.02",2.86666666666667
"183","afABaanh",15,"ColonyNewVersion",9,9,NA,NA,0,0,0,"allhalf",5,13,"h","d.02m.02",3.66666666666667
"184","afABaanh",20,"ColonyNewVersion",5,5,NA,NA,0,0,0,"allhalf",5,13,"h","d.02m.02",5.4
"185","afABaanh",25,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,13,"h","d.02m.02",4.13333333333333
"186","afABaanl",5,"ColonyNewVersion",36,36,23,23,32,0,0,"allhalf",5,13,"l","d.02m.02",2.06666666666667
"187","afABaanl",10,"ColonyNewVersion",17,17,2,2,3,0,0,"allhalf",5,13,"l","d.02m.02",3.51666666666667
"188","afABaanl",15,"ColonyNewVersion",9,9,NA,NA,0,0,0,"allhalf",5,13,"l","d.02m.02",4.05
"189","afABaanl",20,"ColonyNewVersion",6,6,NA,NA,0,0,0,"allhalf",5,13,"l","d.02m.02",5.03333333333333
"190","afABaanl",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,13,"l","d.02m.02",4.3
"191","afABaann",5,"ColonyNewVersion",32,32,18,18,25,0,0,"allhalf",5,13,"n","d.02m.02",1.88333333333333
"192","afABaann",10,"ColonyNewVersion",17,17,2,2,3,0,0,"allhalf",5,13,"n","d.02m.02",3.15
"193","afABaann",15,"ColonyNewVersion",9,9,NA,NA,0,0,0,"allhalf",5,13,"n","d.02m.02",3.36666666666667
"194","afABaann",20,"ColonyNewVersion",5,5,NA,NA,0,0,0,"allhalf",5,13,"n","d.02m.02",4.26666666666667
"195","afABaann",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,13,"n","d.02m.02",3.86666666666667
"196","afABaaoh",5,"ColonyNewVersion",31,31,15,15,22,0,0,"allhalf",5,14,"h","d.02m.02",2.58333333333333
"197","afABaaoh",10,"ColonyNewVersion",19,19,9,9,13,0,0,"allhalf",5,14,"h","d.02m.02",2.98333333333333
"198","afABaaoh",15,"ColonyNewVersion",13,13,4,4,6,0,0,"allhalf",5,14,"h","d.02m.02",3.76666666666667
"199","afABaaoh",20,"ColonyNewVersion",8,8,NA,NA,0,0,0,"allhalf",5,14,"h","d.02m.02",4.48333333333333
"200","afABaaoh",25,"ColonyNewVersion",3,3,NA,NA,0,0,0,"allhalf",5,14,"h","d.02m.02",5.51666666666667
"201","afABaaol",5,"ColonyNewVersion",34,34,22,22,32,0,0,"allhalf",5,14,"l","d.02m.02",2.41666666666667
"202","afABaaol",10,"ColonyNewVersion",24,24,6,6,9,0,0,"allhalf",5,14,"l","d.02m.02",3.35
"203","afABaaol",15,"ColonyNewVersion",10,10,NA,NA,0,0,0,"allhalf",5,14,"l","d.02m.02",4.26666666666667
"204","afABaaol",20,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,14,"l","d.02m.02",4.73333333333333
"205","afABaaol",25,"ColonyNewVersion",1,1,NA,NA,0,0,0,"allhalf",5,14,"l","d.02m.02",5.63333333333333
"206","afABaaon",5,"ColonyNewVersion",32,32,14,14,20,0,0,"allhalf",5,14,"n","d.02m.02",2
"207","afABaaon",10,"ColonyNewVersion",19,19,4,4,6,0,0,"allhalf",5,14,"n","d.02m.02",4.25
"208","afABaaon",15,"ColonyNewVersion",13,13,2,2,3,0,0,"allhalf",5,14,"n","d.02m.02",4.16666666666667
"209","afABaaon",20,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,14,"n","d.02m.02",3.88333333333333
"210","afABaaon",25,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,14,"n","d.02m.02",4.96666666666667
"211","afABaaph",5,"ColonyNewVersion",34,34,21,21,30,0,0,"allhalf",5,15,"h","d.02m.02",2.15
"212","afABaaph",10,"ColonyNewVersion",12,12,4,4,6,0,0,"allhalf",5,15,"h","d.02m.02",3.05
