Scenario	NumAlleles	Number	GenoError	Code	NumLoc	gtyp.err.assumption	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Minutes
allhalf	10	5	n	akABaafn	5	d0m0	26	26	8	8	12	0	0	3.35000
allpathalf	10	1	h	akACaabh	5	d0m0	24	24	8	8	12	0	0	2.58333
allpathalf	10	1	l	akACaabl	5	d0m0	22	22	4	4	6	0	0	3.66667
allpathalf	10	1	n	akACaabn	5	d0m0	25	25	6	6	9	0	0	2.71667
allpathalf	10	2	h	akACaach	5	d0m0	23	23	8	8	12	0	0	2.98333
allpathalf	10	2	l	akACaacl	5	d0m0	22	22	10	10	15	0	0	3.05000
allpathalf	10	2	n	akACaacn	5	d0m0	22	22	13	13	19	0	0	3.46667
allpathalf	10	3	h	akACaadh	5	d0m0	28	28	10	10	15	0	0	3.01667
allpathalf	10	3	l	akACaadl	5	d0m0	25	25	8	8	12	0	0	3.25000
allpathalf	10	3	n	akACaadn	5	d0m0	26	26	12	12	18	0	0	2.91667
allpathalf	10	4	h	akACaaeh	5	d0m0	25	25	2	2	3	0	0	2.63333
allpathalf	10	4	l	akACaael	5	d0m0	23	23	6	6	9	0	0	3.23333
allpathalf	10	4	n	akACaaen	5	d0m0	27	27	8	8	12	0	0	3.68333
allpathalf	10	5	h	akACaafh	5	d0m0	24	24	4	4	6	0	0	2.86667
allpathalf	10	5	l	akACaafl	5	d0m0	24	24	8	8	12	0	0	3.03333
allpathalf	10	5	n	akACaafn	5	d0m0	21	21	4	4	6	0	0	2.98333
nosibs	10	1	h	akAEaabh	5	d0m0	26	26	4	4	6	0	0	2.83333
nosibs	10	1	l	akAEaabl	5	d0m0	31	31	10	10	15	0	0	2.76667
nosibs	10	1	n	akAEaabn	5	d0m0	24	24	8	8	12	0	0	2.78333
nosibs	10	2	h	akAEaach	5	d0m0	24	24	8	8	12	0	0	3.35000
nosibs	10	2	l	akAEaacl	5	d0m0	22	22	8	8	12	0	0	2.80000
nosibs	10	2	n	akAEaacn	5	d0m0	25	25	8	8	12	0	0	2.98333
nosibs	10	3	h	akAEaadh	5	d0m0	23	23	6	6	9	0	0	3.13333
nosibs	10	3	l	akAEaadl	5	d0m0	25	25	8	8	12	0	0	2.90000
nosibs	10	3	n	akAEaadn	5	d0m0	23	23	10	10	15	0	0	3.15000
nosibs	10	4	h	akAEaaeh	5	d0m0	20	20	6	6	9	0	0	3.01667
nosibs	10	4	l	akAEaael	5	d0m0	22	22	2	2	3	0	0	2.31667
nosibs	10	4	n	akAEaaen	5	d0m0	22	22	4	4	6	0	0	2.63333
nosibs	10	5	h	akAEaafh	5	d0m0	18	18	6	6	9	0	0	2.83333
nosibs	10	5	l	akAEaafl	5	d0m0	24	24	8	8	12	0	0	3.10000
nosibs	10	5	n	akAEaafn	5	d0m0	24	24	8	8	12	0	0	2.96667
onelarge_noh	10	1	h	akAFaabh	5	d0m0	25	25	18	18	30	0	0	3.46667
onelarge_noh	10	1	l	akAFaabl	5	d0m0	20	20	10	10	30	0	0	3.28333
onelarge_noh	10	1	n	akAFaabn	5	d0m0	14	14	2	2	33	0	0	3.66667
onelarge_noh	10	2	h	akAFaach	5	d0m0	34	34	20	20	33	0	0	3.21667
onelarge_noh	10	2	l	akAFaacl	5	d0m0	20	20	12	12	36	0	0	3.00000
onelarge_noh	10	2	n	akAFaacn	5	d0m0	16	16	8	8	42	0	0	2.78333
onelarge_noh	10	3	h	akAFaadh	5	d0m0	25	25	17	17	36	0	0	2.76667
onelarge_noh	10	3	l	akAFaadl	5	d0m0	10	10	4	4	36	0	0	3.71667
onelarge_noh	10	3	n	akAFaadn	5	d0m0	11	11	2	2	33	0	0	3.08333
onelarge_noh	10	4	h	akAFaaeh	5	d0m0	33	33	23	23	33	0	0	3.03333
onelarge_noh	10	4	l	akAFaael	5	d0m0	24	24	18	18	39	0	0	3.28333
onelarge_noh	10	4	n	akAFaaen	5	d0m0	8	8	0	0	30	0	0	3.36667
onelarge_noh	10	5	h	akAFaafh	5	d0m0	36	36	28	28	36	0	0	3.40000
onelarge_noh	10	5	l	akAFaafl	5	d0m0	18	18	8	8	30	0	0	2.80000
onelarge_noh	10	5	n	akAFaafn	5	d0m0	14	14	6	6	39	0	0	2.98333
onelarge_wh	10	1	h	akAGaabh	5	d0m0	35	35	27	27	42	0	0	3.23333
onelarge_wh	10	1	l	akAGaabl	5	d0m0	42	42	32	32	43	0	0	3.30000
onelarge_wh	10	1	n	akAGaabn	5	d0m0	35	35	24	24	38	0	0	3.96667
onelarge_wh	10	2	h	akAGaach	5	d0m0	36	36	28	28	39	0	0	3.46667
onelarge_wh	10	2	l	akAGaacl	5	d0m0	33	33	24	24	38	0	0	3.66667
onelarge_wh	10	2	n	akAGaacn	5	d0m0	34	34	28	28	44	0	0	4.65000
onelarge_wh	10	3	h	akAGaadh	5	d0m0	39	39	24	24	35	0	0	3.58333
onelarge_wh	10	3	l	akAGaadl	5	d0m0	36	36	27	27	43	0	0	3.63333
onelarge_wh	10	3	n	akAGaadn	5	d0m0	33	33	23	23	43	0	0	4.06667
onelarge_wh	10	4	h	akAGaaeh	5	d0m0	36	36	27	27	38	0	0	3.58333
onelarge_wh	10	4	l	akAGaael	5	d0m0	36	36	26	26	40	0	0	3.60000
onelarge_wh	10	4	n	akAGaaen	5	d0m0	39	39	31	31	45	0	0	3.88333
onelarge_wh	10	5	h	akAGaafh	5	d0m0	35	35	30	30	51	0	0	4.41667
onelarge_wh	10	5	l	akAGaafl	5	d0m0	30	30	24	24	47	0	0	5.06667
onelarge_wh	10	5	n	akAGaafn	5	d0m0	38	38	30	30	48	0	0	3.98333
sfs_noh	10	1	h	akAHaabh	5	d0m0	16	16	11	11	42	0	0	2.76667
sfs_noh	10	1	l	akAHaabl	5	d0m0	12	12	6	6	48	0	0	2.78333
sfs_noh	10	1	n	akAHaabn	5	d0m0	8	8	3	3	45	0	0	2.98333
sfs_noh	10	2	h	akAHaach	5	d0m0	13	13	12	12	50	0	0	2.48333
sfs_noh	10	2	l	akAHaacl	5	d0m0	13	13	10	10	45	0	0	2.71667
sfs_noh	10	2	n	akAHaacn	5	d0m0	9	9	7	7	49	0	0	2.56667
sfs_noh	10	3	h	akAHaadh	5	d0m0	16	16	12	12	44	0	0	2.70000
sfs_noh	10	3	l	akAHaadl	5	d0m0	15	15	12	12	44	0	0	2.58333
sfs_noh	10	3	n	akAHaadn	5	d0m0	6	6	3	3	44	0	0	2.60000
sfs_noh	10	4	h	akAHaaeh	5	d0m0	19	19	16	16	46	0	0	3.13333
sfs_noh	10	4	l	akAHaael	5	d0m0	8	8	7	7	45	0	0	2.31667
sfs_noh	10	4	n	akAHaaen	5	d0m0	5	5	3	3	43	0	0	2.20000
sfs_noh	10	5	h	akAHaafh	5	d0m0	22	22	17	17	46	0	0	2.33333
